Jahr,Kw,Y0,Y10,Y20,Y30,Y40,Y50,Y60,Y70,Y80,Y90
2020,10,0,0,0,0,0,0,0,0,0,0
2020,11,0,0,0,0,0,0,0,0,0,12
2020,12,0,0,0,0,0,0,0,0,0,55
2020,13,0,0,0,0,4,22,22,79,150,31
2020,14,0,0,0,0,0,58,89,257,420,92
2020,15,0,0,0,0,0,101,181,462,725,194
2020,16,0,0,0,0,0,151,296,715,1097,303
2020,17,0,1,3,5,35,137,386,917,1399,385
2020,18,0,1,4,9,37,167,446,1035,1609,451
2020,19,0,2,5,12,39,186,502,1129,1773,489
2020,20,0,2,6,13,41,203,541,1200,1877,524
2020,21,0,2,6,14,45,211,565,1249,1951,534
2020,22,0,2,6,14,49,218,591,1287,2003,580
2020,23,0,2,6,15,49,222,605,1313,2035,557
2020,24,0,2,6,17,49,225,614,1329,2065,565
2020,25,0,2,6,17,49,228,624,1346,2085,565
2020,26,0,2,6,17,50,233,630,1359,2094,574
2020,27,0,2,6,17,53,234,635,1367,2101,576
2020,28,0,2,6,17,54,236,642,1373,2104,579
2020,29,0,2,6,17,54,237,645,1379,2109,578
2020,30,0,2,6,17,56,240,647,1382,2114,581
2020,31,0,2,6,17,57,240,650,1387,2120,584
2020,32,0,2,7,17,57,241,656,1393,2136,588
2020,33,0,2,7,17,57,242,658,1402,2144,586
2020,34,0,2,7,17,59,243,660,1403,2153,591
2020,35,0,2,7,18,59,245,664,1409,2155,593
2020,36,0,1,7,18,59,248,670,1416,2157,593
2020,37,0,1,7,18,59,249,670,1425,2159,594
2020,38,0,1,7,18,59,253,673,1430,2173,597
2020,39,0,1,7,18,60,255,682,1438,2188,603
2020,40,0,1,7,18,60,263,683,1445,2209,609
2020,41,0,1,8,18,60,265,691,1467,2226,617
2020,42,1,2,9,19,60,270,701,1493,2285,632
2020,43,1,2,11,19,62,271,716,1527,2337,655
2020,44,2,3,11,21,67,286,742,1594,2478,716
2020,45,2,2,11,23,70,297,790,1706,2696,776
2020,46,1,3,10,24,73,324,840,1873,3058,888
2020,47,1,3,13,27,90,352,931,2070,3449,1000
2020,48,2,3,14,27,100,391,1044,2357,3929,1221
2020,49,2,3,15,29,106,427,1167,2666,4573,1415
2020,50,1,3,17,30,121,480,1318,3039,5327,1661
2020,51,4,4,17,40,131,555,1537,3548,6408,2027
2020,52,3,3,19,43,142,621,1735,3997,7381,2345
2020,53,4,4,20,45,156,688,1934,4553,8411,2730
2021,1,4,3,22,49,168,788,2217,5247,9907,3215
